"","type","title","subtitle","from","date","link"
"576","Press release","Selected NHS patients to access coronavirus treatment remdesivir","The anti-viral drug remdesivir will be made available to patients meeting certain clinical criteria to support their recovery in hospital.","Department of Health and Social Care",2020-05-26,"https://www.gov.uk/government/news/selected-nhs-patients-to-access-coronavirus-treatment-remdesivir"
"577","Press release","PM announces new funding in fight against spread of coronavirus","Global race to find a vaccine for coronavirus bolstered by support funded by the UK’s international development budget.","Department for International Development, Prime Minister's Office, 10 Downing Street, Foreign & Commonwealth Office, The Rt Hon Boris Johnson MP, and The Rt Hon Anne-Marie Trevelyan MP",2020-03-06,"https://www.gov.uk/government/news/pm-announces-new-funding-in-fight-against-spread-of-coronavirus"
"578","News story","Eat Out to Help Out launches today – with government paying half on restaurant bills","Diners across the UK will see their restaurant bills slashed by as much as 50% from today as the government’s landmark Eat Out to Help Out scheme officially opens for business (Monday 3 August).","HM Treasury",2020-08-03,"https://www.gov.uk/government/news/eat-out-to-help-out-launches-today-with-government-paying-half-on-restaurant-bills"
"579","News story","Government ensures ticket refunds and protects services for passengers with rail emergency measures","We're supporting train operators to make sure our railways stay open for key workers during the coronavirus outbreak.","Department for Transport and The Rt Hon Grant Shapps MP",2020-03-23,"https://www.gov.uk/government/news/government-ensures-ticket-refunds-and-protects-services-for-passengers-with-rail-emergency-measures"
"580","News story","Plans announced for London’s COVID-19 recovery","A new London Transition Board will co-ordinate London’s response as it emerges from the lockdown and begins to reopen its economy while controlling the virus.","Ministry of Housing, Communities & Local Government, Department for Business, Energy & Industrial Strategy, Paul Scully MP, and The Rt Hon Robert Jenrick MP",2020-05-22,"https://www.gov.uk/government/news/plans-announced-for-london-s-covid-19-recovery"
"581","News story","Almost £400 million to keep England’s buses running","Greater funding to keep bus routes running during the coronavirus pandemic.","Department for Transport, The Rt Hon Grant Shapps MP, and The Rt Hon Rishi Sunak MP",2020-04-03,"https://www.gov.uk/government/news/almost-400-million-to-keep-englands-buses-running"
"582","Press release","Ethnic minority communities and the elderly called upon to bolster the fight against coronavirus","Researchers are calling on more people from Black, Asian and minority ethnic backgrounds and the over 65s to volunteer for clinical studies through the NHS Vaccine Registry.","Department for Business, Energy & Industrial Strategy, Kemi Badenoch MP, and The Rt Hon Alok Sharma MP",2020-10-13,"https://www.gov.uk/government/news/ethnic-minority-communities-and-the-elderly-called-upon-to-bolster-the-fight-against-coronavirus"
"583","News story","Welsh Secretary welcomes Chancellor’s further COVID-19 support","The Chancellor has extended the Coronavirus Job Retention Scheme until the end of March 2021.","Office of the Secretary of State for Wales, The Rt Hon Simon Hart MP, and The Rt Hon Rishi Sunak MP",2020-11-05,"https://www.gov.uk/government/news/welsh-secretary-welcomes-chancellors-further-covid-19-support"
"584","Press release","Latest interim findings from COVID-19 study published","Findings from Imperial College London and Ipsos MORI show the number of infections continues to rise across all regions.","Department of Health and Social Care",2020-10-29,"https://www.gov.uk/government/news/latest-interim-findings-from-covid-19-study-published"
"585","News story","Up to £15 million to support the Citizens Advice service during COVID-19 pandemic","Citizens Advice and Citizens Advice Scotland to receive funding boost of up to £15 million to help them deal with increased demand during the COVID-19 pandemic.","Department for Business, Energy & Industrial Strategy, HM Treasury, Scottish Office, Welsh Office, Paul Scully MP, David TC Davies MP, The Rt Hon Oliver Dowden CBE MP, and Douglas Ross MP",2020-05-23,"https://www.gov.uk/government/news/up-to-15-million-to-support-the-citizens-advice-service-during-covid-19-pandemic"
"586","Press release","Government unlocks £150 million from dormant accounts for coronavirus response","Culture Secretary accelerates release of funding in further boost for charities and social enterprises across the country","Department for Digital, Culture, Media & Sport, HM Treasury, Office for Civil Society, Baroness Barran MBE, John Glen MP, and The Rt Hon Oliver Dowden CBE MP",2020-05-20,"https://www.gov.uk/government/news/government-unlocks-150-million-from-dormant-accounts-for-coronavirus-response"
"587","World news story","COVID-19 impact: UK Visa Application Centre in Accra closure","Due to the international effort to reduce spread of coronavirus (COVID-19), the UK Visa Application Centre in Accra will be closed to the public effective immediately.","British High Commission Accra",2020-03-26,"https://www.gov.uk/government/news/covid-19-impact-uk-visa-application-centre-in-accra-closure"
"588","Press release","Coronavirus: new website for reporting medicines side effects and equipment incidents","A new online reporting site, dedicated to reporting any suspected side effects from medicines, future vaccines and incidents involving medical equipment relating to COVID-19 treatment, has today been launched.","Medicines and Healthcare products Regulatory Agency",2020-05-04,"https://www.gov.uk/government/news/coronavirus-new-website-for-reporting-medicines-side-effects-and-equipment-incidents"
"589","Press release","Eat Out to Help Out – look for the logo","Diners who eat-in will benefit from a 50% discount, up to a maximum of £10 per person, on food and non-alcoholic drinks, any Monday to Wednesday in August.","HM Revenue & Customs, HM Treasury, and The Rt Hon Rishi Sunak MP",2020-07-28,"https://www.gov.uk/government/news/eat-out-to-help-out-look-for-the-logo"
"590","Correspondence","Letter from Minister for Rough Sleeping on funding for emergency accommodation during the pandemic, and support for EEA rough sleepers","Letter to all local authorities in England to update them on funding to support interventions for those placed in emergency accommodation, and support for EEA rough sleepers.","Ministry of Housing, Communities & Local Government",2020-06-30,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-from-minister-hall-to-local-authorities-on-funding-support-for-those-in-emergency-accommodation-and-eea-rough-sleepers"
"591","Oral statement to Parliament","Chancellor statement to the House – Plan For Jobs","Statement, as delivered by Chancellor Rishi Sunak, on 22 October 2020.","HM Treasury and The Rt Hon Rishi Sunak MP",2020-10-22,"https://www.gov.uk/government/speeches/chancellor-statement-to-the-house-plan-for-jobs"
"592","Press release","MHRA suspends recruitment to COVID-19 hydroxychloroquine trials","The Medicines and Healthcare products Regulatory Agency (MHRA) has instructed UK clinical trialists using hydroxychloroquine to treat or prevent coronavirus (COVID-19) to suspend recruitment of further participants.","Medicines and Healthcare products Regulatory Agency",2020-06-16,"https://www.gov.uk/government/news/mhra-suspends-recruitment-to-covid-19-hydroxychloroquine-trials"
"593","Press release","Spending Review to deliver jobs and infrastructure for Wales","Chancellor Rishi Sunak Spending Review for 2021/22 focuses on investment and recovery.","Office of the Secretary of State for Wales, The Rt Hon Rishi Sunak MP, and The Rt Hon Simon Hart MP",2020-11-25,"https://www.gov.uk/government/news/spending-review-to-deliver-jobs-and-infrastructure-for-wales"
"594","Press release","£5 million for social prescribing to tackle the impact of COVID-19","The National Academy for Social Prescribing (NASP) has been awarded £5 million in funding to support people to stay connected and maintain their health and wellbeing following the COVID-19 pandemic.","Department of Health and Social Care",2020-08-16,"https://www.gov.uk/government/news/5-million-for-social-prescribing-to-tackle-the-impact-of-covid-19"
"595","Correspondence","Coronavirus (COVID-19): letter to social housing residents","Letter from the Minister of Housing setting out the measures that are in place to support social housing residents during the next phase towards reopening society.","Ministry of Housing, Communities & Local Government and The Rt Hon Christopher Pincher MP",2020-05-18,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-to-social-housing-residents"
"596","Press release","Vaccines Manufacturing and Innovation Centre to open 12 months ahead of schedule","Race to manufacture millions of doses of a coronavirus vaccine boosted with a multi-million-pound government investment.","Department for Business, Energy & Industrial Strategy, UK Research and Innovation, and The Rt Hon Alok Sharma MP",2020-05-17,"https://www.gov.uk/government/news/vaccines-manufacturing-and-innovation-centre-to-open-12-months-ahead-of-schedule"
"597","Oral statement to Parliament","Plans for managing the coronavirus (COVID-19) outbreak in Leicester","Health and Social Care Secretary Matt Hancock spoke about local measures to deal with the coronavirus (COVID-19) outbreak in Leicester.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-06-29,"https://www.gov.uk/government/speeches/local-action-to-tackle-coronavirus"
"598","Press release","Over £100 million cash boost to manufacture millions of doses of COVID-19 vaccine","New state-of-the-art centre to scale up COVID-19 vaccine and gene therapy manufacturing gets £100 million investment.","Department for Business, Energy & Industrial Strategy, Innovate UK, and The Rt Hon Alok Sharma MP",2020-07-23,"https://www.gov.uk/government/news/over-100-million-cash-boost-to-manufacture-millions-of-doses-of-covid-19-vaccine"
"599","News story","PHE statement on delayed reporting of COVID-19 cases","A technical issue, now resolved, resulted in cases between 25 September and 2 October not being included in the reported daily COVID-19 figures.","Public Health England",2020-10-04,"https://www.gov.uk/government/news/phe-statement-on-delayed-reporting-of-covid-19-cases"
"600","Press release","£22 million awarded to life-saving health charities during virus outbreak","Mental health, ambulance, social care, learning disabilities, autism and dementia charities are among those set to receive millions of pounds in government funding.","Department of Health and Social Care",2020-05-22,"https://www.gov.uk/government/news/22-million-awarded-to-life-saving-health-charities-during-virus-outbreak"
"601","News story","Home Office extends bereavement scheme to NHS support staff and social care workers","The bereavement scheme has been extended to the families and dependants of NHS support staff and social care workers who die as a result of contracting coronavirus (COVID-19).","Home Office, Department of Health and Social Care, UK Visas and Immigration, and The Rt Hon Priti Patel MP",2020-05-20,"https://www.gov.uk/government/news/home-office-extends-bereavement-scheme-to-nhs-support-staff-and-social-care-workers"
"602","Press release","NHS volunteers extend support to frontline health and social care staff","Frontline health and care staff will be able to access support from the hundreds of thousands of NHS volunteer responders, Minister for Care Helen Whately announced today.","Department of Health and Social Care",2020-06-06,"https://www.gov.uk/government/news/nhs-volunteers-extend-support-to-frontline-health-and-social-care-staff"
"603","Press release","UK medicines and medical devices regulator investigating 14 cases of fake or unlicensed COVID-19 medical products","An increasing number of bogus medical products being sold through unauthorised websites claiming to treat or prevent COVID-19 are being investigated by the Medicines and Healthcare products Regulatory Agency (MHRA).","Medicines and Healthcare products Regulatory Agency",2020-04-04,"https://www.gov.uk/government/news/uk-medicines-and-medical-devices-regulator-investigating-14-cases-of-fake-or-unlicensed-covid-19-medical-products"
"604","Correspondence","Coronavirus (COVID-19): letter from Minister Hall to local authorities on plans to protect rough sleepers","Letter to all local authorities in England to update them on plans to protect rough sleepers during the COVID-19 pandemic.","Ministry of Housing, Communities & Local Government and Luke Hall MP",2020-03-27,"https://www.gov.uk/government/publications/letter-from-minister-hall-to-local-authorities"
"605","News story","£2.9 billion funding to strengthen care for the vulnerable","The funding will help patients who no longer need urgent hospital treatment to return home, making at least 15,000 beds available during the coronavirus outbreak.","Department of Health and Social Care and Ministry of Housing, Communities & Local Government",2020-03-19,"https://www.gov.uk/government/news/2-9-billion-funding-to-strengthen-care-for-the-vulnerable"
"606","Press release","6,000 new supported homes as part of landmark commitment to end rough sleeping","Radical plans to provide thousands of long-term, safe homes for vulnerable rough sleepers taken off the streets during the pandemic.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-05-24,"https://www.gov.uk/government/news/6-000-new-supported-homes-as-part-of-landmark-commitment-to-end-rough-sleeping"
"607","Correspondence","Coronavirus (COVID-19): letter to the manufacturing sector, November 2020","Letter from the Secretary of State for Business, Energy and Industrial Strategy, Alok Sharma, to those in the manufacturing industry and its supply chain.","Department for Business, Energy & Industrial Strategy and The Rt Hon Alok Sharma MP",2020-11-13,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-to-the-manufacturing-sector-november-2020"
"608","Press release","New measures to improve patient care ahead of winter","A&Es in 25 hospitals will receive a share of £150 million in funding to upgrade, reduce overcrowding and improve infection control ahead of winter.","Department of Health and Social Care",2020-09-17,"https://www.gov.uk/government/news/new-measures-to-improve-patient-care-ahead-of-winter"
"609","Press release","NHS asks people to share their coronavirus symptoms to help others","A new Coronavirus Status Checker will help the NHS coordinate its response and build up additional data on the COVID-19 outbreak.","Department of Health and Social Care",2020-04-04,"https://www.gov.uk/government/news/nhs-asks-people-to-share-their-coronavirus-symptoms-to-help-others"
"610","Press release","Thousands of business advisers to offer free services to small firms","Thousands of expert professional and business services advisers have signed up to offer free online advice to help small businesses bounce back from coronavirus (COVID-19).","Department for Business, Energy & Industrial Strategy and Paul Scully MP",2020-07-09,"https://www.gov.uk/government/news/thousands-of-business-advisers-to-offer-free-services-to-small-firms"
"611","Correspondence","Adult social care winter plan: letter from Minister for Care to local authorities","Letter from Helen Whately, Minister for Care, to outline the expectations of local authorities in relation to the adult social care winter plan.","Department of Health and Social Care",2020-09-18,"https://www.gov.uk/government/publications/adult-social-care-winter-plan-letter-from-minister-for-care-to-local-authorities"
"612","News story","£20 million to improve small business leadership and problem-solving skills in the wake of coronavirus","Two new leadership programmes to help small business leaders grow their companies in the wake of the coronavirus pandemic have been launched today (3 August).","Department for Business, Energy & Industrial Strategy, Paul Scully MP, and The Rt Hon Alok Sharma MP",2020-08-03,"https://www.gov.uk/government/news/20-million-to-improve-small-business-leadership-and-problem-solving-skills-in-the-wake-of-coronavirus"
"613","Press release","Interim results from largest COVID-19 study published","Over 80,000 volunteers tested in England between 18 and 26 September as part of the country’s largest study into COVID-19.","Department of Health and Social Care",2020-10-01,"https://www.gov.uk/government/news/interim-results-from-largest-covid-19-study-published"
"614","News story","New production lines will make millions of face coverings each week","A government drive to increase UK production of face coverings has started at two sites in England and Wales, the Chancellor of the Duchy of Lancaster Michael Gove has announced today.","Cabinet Office, Office of the Secretary of State for Wales, Office of the Secretary of State for Scotland, The Rt Hon Michael Gove MP, The Rt Hon Simon Hart MP, and The Rt Hon Alister Jack MP",2020-07-20,"https://www.gov.uk/government/news/new-production-lines-will-make-millions-of-face-coverings-each-week"
"615","Press release","NHS Test and Trace launches campaign to encourage everyone with symptoms to get a free test","NHS Test and Trace will launch the new campaign alongside a new business plan to expand testing capacity and prepare the nation for winter.","Department of Health and Social Care",2020-07-30,"https://www.gov.uk/government/news/nhs-test-and-trace-launches-campaign-to-encourage-everyone-with-symptoms-to-get-a-free-test"
"616","News story","Greek islands of Lesvos, Santorini, Serifos, Tinos and Zakynthos added to travel corridor list","From 4am Saturday 10 October, people arriving in England from Lesvos, Santorini, Serifos, Tinos and Zakynthos will not need to self-isolate for 2 weeks.","Department for Transport and Foreign, Commonwealth & Development Office",2020-10-08,"https://www.gov.uk/government/news/greek-islands-of-lesvos-santorini-serifos-tinos-and-zakynthos-added-to-travel-corridor-list"
"617","News story","Government publishes updated COVID-19 industry guidance","New and updated industry guidance published on limiting the spread of coronavirus (COVID-19), following last week’s shift to the ‘delay’ phase of the action plan.","Department of Health and Social Care and Public Health England",2020-03-16,"https://www.gov.uk/government/news/government-publishes-updated-covid-19-industry-guidance"
"618","News story","Check the tax rules on waiving your income or donating to charity","HMRC advice for people choosing to give up their income to support their business or donate to charity during the coronavirus (COVID-19) pandemic.","HM Revenue & Customs",2020-05-19,"https://www.gov.uk/government/news/check-the-tax-rules-on-waiving-your-income-or-donating-to-charity"
"619","News story","Government publishes aviation COVID-19 guidance","Coronavirus guidance for aviation operators and safer air travel guidance for passengers.","Department for Transport and The Rt Hon Grant Shapps MP",2020-06-11,"https://www.gov.uk/government/news/government-publishes-aviation-covid-19-guidance"
"620","Press release","New measures to protect UK high street from aggressive rent collection and closure","High street shops and other companies under strain will be protected from aggressive rent collection and asked to pay what they can during the coronavirus pandemic.","Department for Business, Energy & Industrial Strategy, Ministry of Housing, Communities & Local Government, The Rt Hon Robert Jenrick MP, and The Rt Hon Alok Sharma MP",2020-04-23,"https://www.gov.uk/government/news/new-measures-to-protect-uk-high-street-from-aggressive-rent-collection-and-closure"
"621","Correspondence","Wellbeing for education return grant: S31 grant determination letter","Additional funding for local authorities to support pupils’ and students’ wellbeing and psychosocial recovery as they return to full-time education in autumn 2020.","Department for Education",2020-08-12,"https://www.gov.uk/government/publications/wellbeing-for-education-return-grant-s31-grant-determination-letter"
"622","Press release","Poland travel advice: Foreign Office statement, 14 March 2020","The Foreign & Commonwealth Office now advises against all but essential travel to Poland.","Foreign & Commonwealth Office",2020-03-14,"https://www.gov.uk/government/news/fco-statement-on-poland-travel-advice"
"623","Press release","New taskforce developing plan to reopen places of worship","Faith leaders and government agree to develop plan to enable phased and safe reopening of places of worship.","Ministry of Housing, Communities & Local Government, Lord Stephen Greenhalgh, and The Rt Hon Robert Jenrick MP",2020-05-15,"https://www.gov.uk/government/news/new-taskforce-developing-plan-to-reopen-places-of-worship"
"624","Oral statement to Parliament","Repatriation during the coronavirus (COVID-19) pandemic: Minister Adams' statement, 29 April 2020","Foreign & Commonwealth Office Minister Nigel Adams spoke in Parliament on FCO support for British people abroad and procuring Personal Protective Equipment (PPE).","Foreign & Commonwealth Office and Nigel Adams MP",2020-04-29,"https://www.gov.uk/government/speeches/repatriation-during-the-coronavirus-covid-19-pandemic-minister-adams-statement-29-april-2020"
"625","News story","COVID-19: Call for rapid sanitising technology for ambulances","Do you have an innovative or novel approach to get ambulances cleaner quicker to help combat Coronavirus?","Defence and Security Accelerator, Defence Science and Technology Laboratory, Welsh Government, and Innovate UK",2020-03-25,"https://www.gov.uk/government/news/covid-19-call-for-rapid-sanitising-technology-for-ambulances"
"626","News story","Government introduces legislation to relieve burden on businesses and support economic recovery","The government has introduced the Corporate Insolvency and Governance Bill in Parliament.","Department for Business, Energy & Industrial Strategy",2020-05-20,"https://www.gov.uk/government/news/government-introduces-legislation-to-relieve-burden-on-businesses-and-support-economic-recovery"
"627","News story","Statement from the UK Chief Medical Officers on an update to coronavirus symptoms: 18 May 2020","New information about coronavirus (COVID-19) symptoms has been announced.","Department of Health and Social Care",2020-05-18,"https://www.gov.uk/government/news/statement-from-the-uk-chief-medical-officers-on-an-update-to-coronavirus-symptoms-18-may-2020"
"628","Press release","Whole home testing rolled out to all care homes in England","Every care home in England will now be offered a coronavirus test for all residents and staff, even if they have no symptoms.","Department of Health and Social Care",2020-06-08,"https://www.gov.uk/government/news/whole-home-testing-rolled-out-to-all-care-homes-in-england"
"629","Speech","Foreign Secretary's statement on coronavirus (COVID-19): 30 March 2020","Foreign Secretary Dominic Raab gave the 30 March 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Department for Transport, Foreign & Commonwealth Office, Prime Minister's Office, 10 Downing Street, and The Rt Hon Dominic Raab MP",2020-03-30,"https://www.gov.uk/government/speeches/foreign-secretarys-statement-on-coronavirus-covid-19-30-march-2020"
"630","Correspondence","Coronavirus (COVID-19): letter from the Local Government Minister to councils setting out further details of additional funding","The letter thanks councils again for their efforts responding to the coronavirus pandemic and provides further details on the support the government is providing.","Ministry of Housing, Communities & Local Government and Simon Clarke MP",2020-04-20,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-from-the-local-government-minister-to-councils-setting-out-further-details-of-additional-funding"
"631","News story","New UK Government Covid Testing Site Opens in Stirling","The UK Government has today [Saturday 10 October], opened a new walk-through coronavirus testing centre at The Engine Shed in Stirling.","Office of the Secretary of State for Scotland and Iain Stewart MP",2020-10-10,"https://www.gov.uk/government/news/new-uk-government-covid-testing-site-opens-in-stirling"
"632","News story","Latest update from CMA COVID-19 taskforce","The CMA has published a third update from its COVID-19 taskforce, which monitors and responds to competition and consumer problems arising from the pandemic.","Competition and Markets Authority",2020-07-03,"https://www.gov.uk/government/news/latest-update-from-cma-covid-19-taskforce"
"633","Press release","Prime Minister to lead cross-government drive to defeat coronavirus","New daily press conferences to keep public informed on how to protect themselves.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-03-15,"https://www.gov.uk/government/news/prime-minister-to-lead-cross-government-drive-to-defeat-coronavirus"
"634","Speech","Prime Minister's statement on coronavirus (COVID-19): 23 June 2020","Prime Minister Boris Johnson gave a statement at the coronavirus press conference on 23 June 2020.","Prime Minister's Office, 10 Downing Street and The Rt Hon Boris Johnson MP",2020-06-29,"https://www.gov.uk/government/speeches/prime-ministers-statement-on-coronavirus-covid-19-23-june-2020"
"635","Press release","Councils given new powers to hold public meetings remotely","Local authorities in England handed new powers to hold public meetings virtually by using video or telephone conferencing technology.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-04-03,"https://www.gov.uk/government/news/councils-given-new-powers-to-hold-public-meetings-remotely"
"636","News story","jHub support NHSX to securely share COVID-19 symptom data","Strategic Command’s innovation hub, jHub, were recently commissioned to support NHSX to securely gather and share COVID-19 symptom data for project OASIS.","Ministry of Defence, Strategic Command, and jHub Defence Innovation",2020-05-19,"https://www.gov.uk/government/news/jhub-support-nhsx-to-securely-share-covid-19-symptom-data"
"637","Oral statement to Parliament","COVID-19: Health Secretary's statement to Parliament","The Secretary of State for Health and Social Care Matt Hancock updated Parliament on the government's response to coronavirus.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-02-26,"https://www.gov.uk/government/speeches/covid-19-health-secretarys-statement-to-parliament"
"638","Press release","Government outlines further plans to support health and social care system in fight against COVID-19","Health Secretary Matt Hancock announces further proposed measures to combat spread of COVID-19, as government's enhanced approach to pandemic preparation continues","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-03-08,"https://www.gov.uk/government/news/government-outlines-further-plans-to-support-health-and-social-care-system-in-fight-against-covid-19"
"639","News story","Group to measure for coronavirus prevalence in waste water","New working group includes a range of water companies and experts across the UK","Department for Environment, Food & Rural Affairs and Environment Agency",2020-06-12,"https://www.gov.uk/government/news/group-to-measure-for-coronavirus-prevalence-in-waste-water"
"640","Authored article","Data sharing during this public health emergency","Health and care information will be vital in our response to coronavirus. We must continue to use it well and inform the public to maintain and build trust.","National Data Guardian and Dame Fiona Caldicott",2020-04-03,"https://www.gov.uk/government/speeches/data-sharing-during-this-public-health-emergency"
"641","Press release","Government expands expert team to rapidly roll out coronavirus test and trace programme","The government has announced the expansion of the expert team leading on the rapid nationwide roll-out of the coronavirus (COVID-19) test and trace programme.","Department of Health and Social Care",2020-05-12,"https://www.gov.uk/government/news/government-expands-expert-team-to-rapidly-roll-out-coronavirus-test-and-trace-programme"
"642","World news story","Coronavirus: Q&A for British nationals in China","The safety and well-being of British nationals and their dependents is our absolute priority and we will continue to provide updates and essential guidance as the situation develops.","British Embassy Beijing",2020-02-06,"https://www.gov.uk/government/news/coronavirus-qa-for-british-nationals-in-china"
"643","News story","Government grants Transport for London funding package","Government funding and financing package for Transport for London to protect key services.","Department for Transport and The Rt Hon Grant Shapps MP",2020-05-15,"https://www.gov.uk/government/news/government-grants-transport-for-london-funding-package"
"644","Press release","Foreign Secretary advises all British travellers to return to the UK now","All British tourists and short-stay travellers currently abroad should return to the UK where commercial flight options are still available.","Foreign & Commonwealth Office, Department for Transport, The Rt Hon Dominic Raab MP, and The Rt Hon Grant Shapps MP",2020-03-23,"https://www.gov.uk/government/news/foreign-secretary-advises-all-british-travellers-to-return-to-the-uk-now"
"645","Press release","Government to offer testing for “everyone who needs one” in social care settings","All care home residents and social care staff with coronavirus (COVID-19) symptoms will be tested as capacity is built up, the government is announcing today.","Department of Health and Social Care",2020-04-15,"https://www.gov.uk/government/news/government-to-offer-testing-for-everyone-who-needs-one-in-social-care-settings"
"646","Press release","Digital innovations tested to support vulnerable people during COVID-19 outbreak","New parents, unpaid carers, the homeless, young people and cancer patients could benefit from digital solutions as part of the TechForce19 challenge.","Department of Health and Social Care",2020-04-24,"https://www.gov.uk/government/news/digital-innovations-tested-to-support-vulnerable-people-during-covid-19-outbreak"
"647","Correspondence","Coronavirus (COVID-19): letter to Birmingham City Council - 16 April 2020","Government response to Birmingham City Council, recognising the vital work it, and all other councils, are doing to support their communities during the COVID-19 pandemic.","Ministry of Housing, Communities & Local Government and The Rt Hon Christopher Pincher MP",2020-04-16,"https://www.gov.uk/government/publications/covid-19-letter-to-birmingham-city-council-16-april-2020"
"648","Press release","£22 million emergency coronavirus funding for more than 540 sexual violence and domestic abuse charities","Victims of domestic abuse and sexual violence are benefiting from £22 million of emergency funding to help organisations providing support during the pandemic.","Ministry of Justice",2020-06-26,"https://www.gov.uk/government/news/22-million-emergency-coronavirus-funding-for-more-than-540-sexual-violence-and-domestic-abuse-charities"
"649","Press release","Ofsted: School leaders determined pupils won’t become 'the COVID generation'","Ofsted has published the first reports on how schools and children’s homes are addressing the needs of children at this time.","Ofsted",2020-10-06,"https://www.gov.uk/government/news/ofsted-school-leaders-determined-pupils-wont-become-the-covid-generation"
"650","Press release","COVID-19 detection dogs trial launches","Trials for specially-trained ‘COVID dogs’ that may be able to detect coronavirus (COVID-19) in humans, even before symptoms appear, are set to begin as part of new research.","Department of Health and Social Care",2020-05-16,"https://www.gov.uk/government/news/covid-19-detection-dogs-trial-launches"
"651","Press release","£37 million to support children with complex needs","The multi-million-pound settlement will help low-income families with seriously ill or disabled children with the cost of equipment, goods or services","Department for Education and Vicky Ford MP",2020-05-19,"https://www.gov.uk/government/news/37-million-to-support-children-with-complex-needs"
"652","Speech","Foreign Secretary's statement on coronavirus (COVID-19): 16 April 2020","Foreign Secretary Dominic Raab gave the 16 April 2020 daily press briefing on the government's response to the COVID-19 pandemic.","Foreign & Commonwealth Office, Prime Minister's Office, 10 Downing Street, and The Rt Hon Dominic Raab MP",2020-04-16,"https://www.gov.uk/government/speeches/foreign-secretarys-statement-on-coronavirus-covid-19-16-april-2020"
"653","Speech","Has coronavirus killed globalisation: speech by Laura Clarke","British High Commissioner Laura Clarke ponders the changes that COVID-19 has brought to the world and if it has destoryed globalisation.","Foreign & Commonwealth Office and Ms Laura Clarke",2020-06-26,"https://www.gov.uk/government/speeches/has-coronavirus-killed-globalisation-speech-by-laura-clarke"
"654","Correspondence","Coronavirus (COVID-19): letter to town and parish councils","Letter from the Secretary of State Robert Jenrick thanking town and parish councils for their work during the pandemic.","Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",2020-04-30,"https://www.gov.uk/government/publications/coronavirus-covid-19-letter-to-town-and-parish-councils"
"655","News story","Government to support businesses through Trade Credit Insurance guarantee","Businesses with supply chains which rely on Trade Credit Insurance and who are experiencing difficulties maintaining cover due to Coronavirus will get support from the government, the Economic Secretary to the Treasury, John Glen has announced.","HM Treasury",2020-05-13,"https://www.gov.uk/government/news/government-to-support-businesses-through-trade-credit-insurance-guarantee"
"656","Decision","Temporary approval to suspend the need for signatures on prescriptions, dental and ophthalmic forms","Temporary approval to suspend the need for patients to sign prescription, dental and ophthalmic forms for a period of 5 months to 31 March 2021.","Department of Health and Social Care and The Rt Hon Matt Hancock MP",2020-11-01,"https://www.gov.uk/government/publications/temporary-approval-to-suspend-the-need-for-signatures-on-prescriptions-dental-and-ophthalmic-forms"
"657","News story","Andorra, Belgium and The Bahamas to be removed from travel corridors list","Brunei and Malaysia will be added to the travel corridors list.","Department for Transport and Foreign & Commonwealth Office",2020-08-06,"https://www.gov.uk/government/news/andorra-belgium-and-the-bahamas-to-be-removed-from-travel-corridors-list"
"658","Press release","Government to protect UK research jobs with major support package","Two support packages will give greater job protection to thousands of researchers, scientists and technicians working at UK universities during coronavirus (COVID-19).","Department for Business, Energy & Industrial Strategy",2020-06-27,"https://www.gov.uk/government/news/government-to-protect-uk-research-jobs-with-major-support-package"
"659","Speech","Tackling COVID-19 together through the ACT-Accelerator: Foreign Secretary's statements","Dominic Raab co-chaired this high-level event in UNGA 2020, calling for international collaboration for global access to new vaccines, treatments and testing.","Foreign, Commonwealth & Development Office and The Rt Hon Dominic Raab MP",2020-09-30,"https://www.gov.uk/government/speeches/tackling-covid-19-together-through-the-act-accelerator"
"660","Press release","Government sets out plans to ensure bereaved families can attend funerals during pandemic","Local Government Minister writes to all councils in England to ensure that family members can attend the funerals of their loved ones and that the wishes of the deceased are respected.","Ministry of Housing, Communities & Local Government, Simon Clarke MP, and The Rt Hon Robert Jenrick MP",2020-04-17,"https://www.gov.uk/government/news/government-sets-out-plans-to-ensure-bereaved-families-can-attend-funerals-during-pandemic"
"661","News story","Transport secretary statement on Denmark","From 4am Friday 6 November, people arriving in the UK from Denmark will need to self-isolate.","Department for Transport and The Rt Hon Grant Shapps MP",2020-11-06,"https://www.gov.uk/government/news/transport-secretary-statement-on-denmark"
